"Date","Austria","Belgium","Bulgaria","Croatia","Czechia","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Lithuania","Luxembourg","Netherlands","Norway","Poland","Portugal","Romania","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom"
"1996",6.32146666666667,6.4925,"N/A","N/A","N/A",7.19308333333334,7.07666666666667,6.33534166666667,6.21537826037426,14.4608333333333,"N/A",9.23999999999999,7.28916666666667,9.40124999999999,"N/A","N/A",6.32075,6.14991666666667,6.77333333333334,"N/A",8.55916666666667,"N/A",9.6669019802998,"N/A",8.73583333333333,8.05501666666667,4.38375,7.81018333333334
"1997",5.68284166666667,5.75333333333334,"N/A","N/A","N/A",6.25258333333333,5.9575,5.58535,5.64013783663155,9.91833333333333,"N/A",8.70583333333333,6.29333333333333,6.86075,"N/A","N/A",5.59791666666667,5.57716666666667,5.88833333333334,"N/A",6.35833333333334,"N/A",9.37249755925151,"N/A",6.40083333333334,6.6529,3.67025,7.05259166666667
"1998",4.7135,4.75166666666667,"N/A","N/A","N/A",4.93758333333333,4.7875,4.64881666666667,4.57380122407468,8.48166666666666,"N/A",7.66416666666667,4.79666666666667,4.88233333333333,"N/A","N/A",4.72766666666667,4.63166666666667,5.4,"N/A",4.8775,"N/A",21.7253081208792,"N/A",4.83416666666667,5.02126666666667,3.04458333333333,5.55095833333333
"1999",4.6809,4.74916666666667,"N/A","N/A","N/A",4.909,4.7225,4.618525,4.49060971929164,6.05,10.0022222222222,8.47,4.71083333333333,4.72766666666667,"N/A","N/A",4.66375,4.6285,5.4975,"N/A",4.7775,"N/A",16.2427919407941,"N/A",4.72583333333333,4.97923333333334,3.03933333333333,5.093525
"2000",5.5554,5.5925,"N/A","N/A","N/A",5.64183333333334,5.4825,5.4026,5.26395865459653,6.10583333333333,8.55,11.195,5.5125,5.57516666666667,"N/A","N/A",5.51816666666667,5.40333333333333,6.21833333333334,11.7875,5.595,"N/A",9.80361862876074,"N/A",5.525,5.36663333333334,3.92508333333333,5.328975
"2001",5.08016666666667,5.13083333333333,"N/A","N/A",6.31416666666667,5.07916666666667,5.04333333333333,4.95121666666667,4.79659324891804,5.30416666666667,7.945,10.3591666666667,5.01166666666667,5.18875,7.57333333333333,"N/A",4.859,4.957,6.23666666666667,10.6816666666667,5.15833333333334,"N/A",8.04334925852322,"N/A",5.11666666666667,5.10595,3.38175,4.9295
"2002",4.9638,4.98666666666667,"N/A","N/A",4.87666666666667,5.05591666666667,4.98083333333334,4.87596666666667,4.78357959512308,5.12166666666667,7.08583333333333,7.95974166666667,5.01,5.03433333333334,5.40833333333333,"N/A",4.70316666666667,4.89025,6.38416666666667,7.35583333333334,5.00583333333334,"N/A",6.93437321914981,8.61222222222222,4.95916666666667,5.3032,3.19891666666667,4.89424166666667
"2003",4.14086666666667,4.18083333333333,6.44666666666667,"N/A",4.11583333333333,4.30775,4.135,4.135375,4.07114252198349,4.26833333333333,6.77333333333333,6.65211666666667,4.1325,4.24808333333333,4.90083333333333,5.22497303260347,3.316,4.12316666666667,5.045,5.7775,4.17833333333333,"N/A",4.98586583333333,6.40166666666667,4.12416666666667,4.638025,2.65875,4.52659166666667
"2004",4.13089166666667,4.1525,5.36,"N/A",4.82083333333334,4.30458333333333,4.10916666666667,4.09958333333334,4.03715565593827,4.255,8.29166666666667,7.49166666666667,4.07666666666667,4.25883333333334,4.8575,4.5702803187151,2.84341666666667,4.095,4.36833333333334,6.89666666666667,4.14333333333334,"N/A",5.02614344166667,4.68333333333333,4.10333333333334,4.42445833333333,2.74016666666667,4.88226666666667
"2005",3.39373333333334,3.42833333333333,3.87416666666667,"N/A",3.5425,3.40375,3.35083333333333,3.40736666666667,3.35401753560449,3.585,6.59833333333333,8.63694166666667,3.32916666666667,3.55525,3.875,3.48811380026978,2.41266666666667,3.37391666666667,3.74583333333334,5.21833333333333,3.4375,6.99055555555556,3.521579771875,3.80666666666667,3.38666666666667,3.38346666666667,2.0955,4.41389166666667
"2006",3.80084166666667,3.815,4.18333333333334,4.43,3.8,3.812,3.7825,3.79691666666667,3.76412531864906,4.07,7.11583333333334,8.83056666666667,3.765,4.04641666666667,4.13333333333333,4.06267527213125,3.30366666666667,3.78166666666667,4.07666666666667,5.23166666666667,3.915,7.22833333333334,4.412181215625,3.85333333333333,3.78416666666667,3.70255833333333,2.51708333333334,4.501675
"2007",4.29708333333333,4.32833333333333,4.53916666666667,4.93333333333333,4.3025,4.28641666666667,4.29333333333333,4.30391666666667,4.21695500351864,4.5,6.74416666666667,9.41955855933332,4.30583333333334,4.48725,5.2825,4.71263336783989,4.46108333333333,4.28775,4.77416666666667,5.48433333333333,4.42333333333333,7.13416666666667,4.49072595625,4.53075,4.3075,4.16749166666667,2.92675,5.011275
