geo,time,gdp_nominal,gdp_const_2015,gfcf_total,gfcf_public,env_consumption,env_investment,population,real_gdp_per_capita,workers_thousands,hours_worked_thousands,value_added,short_rate,long_rate,long_rate_ecb,public_consumption,long_rate_oecd,long_rate_oecd_outlook,gdp_deflator_2015,env_consumption_const_2015,env_investment_const_2015,env_total_const_2015,env_total,public_consumption_const_2015,gfcf_private,gfcf_total_const_2015,gfcf_public_const_2015,gfcf_private_const_2015,gdp_nominal_bln,value_added_per_1000_workers,long_rate_filled,long_rate_source,gfcf_private_legacy_raw,population_legacy_raw
AT,1995,183629.2,240726.7,47158.6,7211,303.4,803.2,7943489,30290,3587.46,6362111,165078.3,,7.134166667,7.14,36567.4,,,76.28119357,397.7389259,1052.946293,1450.685219,1106.6,47937.63481,39947.6,61822.05311,9453.181922,52368.87119,183.6292,46.01537021,7.134166667,eurostat,58668.73695,7948278
AT,1996,185944.9,246060.7,48307.1,6898,315.8,788.7,7953067,30920,3601.44,6503774,166174.8,,6.3225,6.32,37040.2,,6.321466667,75.5687113,417.8978238,1043.68592,1461.583744,1104.5,49015.25957,41409.1,63924.73706,9128.116494,54796.62057,185.9449,46.14121018,6.3225,eurostat,62387.41138,7959017
AT,1997,186913,251340.7,47739.6,5592,331.6,95.6,7964966,31540,3627.77,6581994,166463.2,,5.6825,5.68,37209.5,,5.682841667,74.36638793,445.9003714,128.5527006,574.453072,427.2,50035.37355,42147.6,64195.13079,7519.526167,56675.60463,186.913,45.88581966,5.6825,eurostat,64593.72812,7968041
AT,1998,193947,260119.7,49617.2,5711,362.3,101.8,7971116,32610,3664.44,6569488,172848.6,,4.713333333,4.71,38557.8,,4.7135,74.56067341,485.9129933,136.5331016,622.4460949,464.1,51713.32049,43906.2,66546.07279,7659.533825,58886.53896,193.947,47.16917182,4.713333333,eurostat,67188.72259,7976789
AT,1999,203064.9,269905.2,50926.9,5853,381.2,79.9,7982461,33770,3719.98,6682894,180440.9,,4.679166667,4.68,40881.4,,4.6809,75.23563829,506.6747736,106.1996705,612.8744442,461.1,54337.81241,45073.9,67689.86235,7779.557844,59910.30451,203.0649,48.50587906,4.679166667,eurostat,67718.42308,7992324
AT,2000,212406.8,278513.9,54601.4,5739,361.1,70.6,8002186,34760,3755.36,6749594,189418.9,,5.556666667,5.56,41486.2,,5.5554,76.26434444,473.4846968,92.5727488,566.0574456,431.7,54397.89761,48862.4,71594.92474,7525.141719,64069.78302,212.4068,50.43961165,5.556666667,eurostat,71835.14536,8011566
AT,2001,219373.3,282181.9,54685.2,5409,384.2,72.8,8020946,35090,3782.31,6746731,195976.8,,5.079166667,5.08,42238.8,,5.080166667,77.74180413,494.2000051,93.64331174,587.8433168,457,54332.15819,49276.2,70342.07735,6957.64661,63384.43074,219.3733,51.81405014,5.079166667,eurostat,70430.27524,8042293
AT,2002,225087.9,286370.5,53172.7,6114,396.6,69.4,8063640,35430,3778.84,6730279,200708.4,,4.964166667,4.96,42972.8,,4.9638,78.6002399,504.5786126,88.29489591,592.8735085,466,54672.60667,47058.7,67649.53907,7778.602213,59870.93686,225.0879,53.11375978,4.964166667,eurostat,67937.61699,8081957
AT,2003,230541.9,289639.7,55777.6,5989,479.9,72.3,8100273,35680,3803.58,6741645,205864.5,,4.140833333,4.14,44262.8,,4.140866667,79.59609819,602.919001,90.83359819,693.7525992,552.2,55609.2585,49788.6,70075.79677,7524.238168,62551.5586,230.5419,54.12387803,4.140833333,eurostat,70260.27552,8121423
AT,2004,240541.7,297069.7,57172.6,6022,471.7,42.3,8142573,36360,3827.52,6793307,214252,,4.130833333,4.13,46048.2,,4.130891667,80.97146899,582.5508737,52.24062319,634.7914969,514,56869.6611,51150.6,70608.3275,7437.187537,63171.13996,240.5417,55.97671599,4.130833333,eurostat,70635.28205,8171966
