geo,time,gdp_nominal,gdp_const_2015,gfcf_total,gfcf_public,env_consumption,env_investment,population,real_gdp_per_capita,workers_thousands,hours_worked_thousands,value_added,short_rate,long_rate,long_rate_ecb,public_consumption,long_rate_oecd,long_rate_oecd_outlook,gdp_deflator_2015,env_consumption_const_2015,env_investment_const_2015,env_total_const_2015,env_total,public_consumption_const_2015,gfcf_private,gfcf_total_const_2015,gfcf_public_const_2015,gfcf_private_const_2015,gdp_nominal_bln,value_added_per_1000_workers,long_rate_filled,long_rate_source,gfcf_private_legacy_raw,population_legacy_raw
AT,1995,183629.2,240726.7,47158.6,7211.0,303.4,803.2,7943489.0,30290.0,3587.46,6362111.0,165078.3,,7.134166666666666,7.14,36567.4,,,76.28119356930495,397.7389259442397,1052.946293073215,1450.6852190174548,1106.6,47937.63480742714,39947.6,61822.05310822026,9453.18192150268,52368.87118671758,183.62920000000003,46.01537020621832,7.134166666666666,eurostat,58668.73695,7948278.0
AT,1996,185944.9,246060.7,48307.1,6898.0,315.8,788.7,7953067.0,30920.0,3601.44,6503774.0,166174.8,,6.3225,6.32,37040.2,,6.32146666666667,75.56871129765948,417.89782381770084,1043.6859203452207,1461.5837441629214,1104.5,49015.25957496011,41409.1,63924.7370644207,9128.116493649464,54796.620570771236,185.9449,46.141210182593625,6.3225,eurostat,62387.41138,7959017.0
AT,1997,186913.0,251340.7,47739.6,5592.0,331.6,95.6,7964966.0,31540.0,3627.77,6581994.0,166463.2,,5.6825,5.68,37209.5,,5.68284166666667,74.36638793478335,445.9003714027382,128.55270056122365,574.4530719639619,427.20000000000005,50035.373551598874,42147.6,64195.13079197273,7519.526166719275,56675.60462525346,186.913,45.885819663319346,5.6825,eurostat,64593.72812,7968041.0
AT,1998,193947.0,260119.7,49617.2,5711.0,362.3,101.8,7971116.0,32610.0,3664.44,6569488.0,172848.6,,4.713333333333333,4.71,38557.8,,4.7135,74.56067341304792,485.9129932919818,136.5331016205458,622.4460949125277,464.1,51713.32048786525,43906.2,66546.07278710161,7659.533824704687,58886.53896239694,193.947,47.16917182434424,4.713333333333333,eurostat,67188.72259,7976789.0
AT,1999,203064.9,269905.2,50926.9,5853.0,381.2,79.9,7982461.0,33770.0,3719.98,6682894.0,180440.9,,4.679166666666667,4.68,40881.4,,4.6809,75.23563829077764,506.6747736314843,106.19967054867683,612.8744441801612,461.1,54337.8124101211,45073.9,67689.86235375982,7779.557843822346,59910.30450993747,203.0649,48.50587906386593,4.679166666666667,eurostat,67718.42308,7992324.0
AT,2000,212406.8,278513.9,54601.4,5739.0,361.1,70.6,8002186.0,34760.0,3755.36,6749594.0,189418.9,,5.556666666666667,5.56,41486.2,,5.5554,76.26434443666903,473.4846967705367,92.57274880088586,566.0574455714226,431.70000000000005,54397.89761052848,48862.4,71594.92473621374,7525.141719097506,64069.78301711623,212.40679999999998,50.43961164841719,5.556666666666667,eurostat,71835.14536,8011566.0
AT,2001,219373.3,282181.9,54685.2,5409.0,384.2,72.8,8020946.0,35090.0,3782.31,6746731.0,195976.8,,5.079166666666667,5.08,42238.8,,5.08016666666667,77.74180413414183,494.2000051054527,93.64331174304257,587.8433168484953,457.0,54332.15818752785,49276.2,70342.07735344274,6957.646610138974,63384.43074330377,219.3733,51.81405014395964,5.079166666666667,eurostat,70430.27524,8042293.0
AT,2002,225087.9,286370.5,53172.7,6114.0,396.6,69.4,8063640.0,35430.0,3778.84,6730279.0,200708.4,,4.964166666666666,4.96,42972.799999999996,,4.9638,78.60023989901195,504.57861262200237,88.29489590511085,592.8735085271132,466.0,54672.60666788395,47058.7,67649.53907051422,7778.602212735556,59870.93685777866,225.0879,53.113759778132966,4.964166666666666,eurostat,67937.61699,8081957.0
AT,2003,230541.9,289639.7,55777.6,5989.0,479.9,72.3,8100273.0,35680.0,3803.58,6741645.0,205864.5,,4.140833333333333,4.14,44262.8,,4.14086666666667,79.59609818681623,602.91900097119,90.83359818757458,693.7525991587646,552.1999999999999,55609.258504245874,49788.6,70075.79676718202,7524.238167985951,62551.558599196076,230.5419,54.1238780306974,4.140833333333333,eurostat,70260.27552,8121423.0
AT,2004,240541.7,297069.7,57172.6,6022.0,471.7,42.3,8142573.0,36360.0,3827.52,6793307.0,214252.0,,4.130833333333333,4.13,46048.2,,4.13089166666667,80.97146898522467,582.5508736738785,52.240623185086,634.7914968589645,514.0,56869.661100507736,51150.6,70608.32749672925,7437.187537129737,63171.13995959952,240.54170000000002,55.97671599364602,4.130833333333333,eurostat,70635.28205,8171966.0
